title,slug,description,location_id,date
Search in Your Rails App,march09,"Search is an essential part of most web applications and building up ‘like’ clauses in code just doesn’t cut it. This month we have three talks on three different search daemons so you have the knowledge to go away and add quality search to your app.

This month we have sponsorship from [Brightbox](http://www.brightbox.co.uk/) so there will be free Pizza, Beer and soft drinks after the talks, and maybe some T-Shirts and stickers too.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Talks on Sphinx, Solr & Ferret by Will Jessop, Asa Calow & John Leach
- 7:45pm :: Pizzas/Beer/Soft-drinks provided by [Brightbox](http://www.brightbox.co.uk/)
- 8:30pm :: Drinks at the BBC bar afterwards, then somewhere else nearby after that closes at about 21:00",10,2009-03-19 18:30:00 UTC
Nanite (and an Introduction to Cloud Computing),february09,"This Month Will Jessop will be talking on Nanite. Nanite is a new way of thinking about building cloud ready web applications. Having a scalable message queueing back-end with all the discovery and dynamic load based dispatch that Nanite has is a very scalable way to construct web application back-ends. There will also be a brief introduction to cloud computing.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Nanite (and an introduction to cloud computing), Will Jessop of [Engine Yard](http://www.engineyard.com/)
- 7:45pm :: Pizzas/Beer/Soft-drinks provided by [Engine Yard](http://www.engineyard.com/)
- 8:30pm :: Drinks at the [The Paramount](http://www.jdwetherspoon.co.uk/pubfinder/details.php?OutletNumber=422)
",6,2009-02-19 18:30:00 UTC
Going for a Ruby,may09,"No talks this month, we’re taking a short break though talks should be back on next month. Feel free to bring a laptop and anything ruby or just turn up and have a beer and a chat. Thursdays is always Curry night at The Paramount and the food is pretty good.",8,2009-05-21 19:00:00 UTC
Pub Meet: new() Years Resolutions,January09,"Another pub meet this month on Thursday the 15th January. But closely followed by two months of talks! Not that that should put you off coming this month that is, Wetherspoons beer is even cheaper!",8,2009-01-15 19:00:00 UTC
Pub Meet: Continuing the Success,december08,"Continuing the success of the regular monthly meetings we will be meeting again on the 18th December. This month all discussion of COBOL, Coldfusion or the vast riches to be made as a sendmail consultant will be banned. Limited discussion of Erlang will be permitted, because it’s cool.",8,2008-12-18 19:00:00 UTC
Uses and Abuses of Mocks and Stubs,october09,"This month [Ashley Moran](http://www.patchspace.co.uk/) will be talking about Uses and Abuses of Mocks and Stubs.

Thanks to [http://www.boxedup.com/](http://www.boxedup.com/) for sponsoring the meetup this month, there will be pizzas and maybe a beer or two provided in the Odder bar across the road after the talks.

## The schedule

Please note we’re back on our old start time of 6:30pm

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: Uses and Abuses of Mocks and Stubs by [Ashley Moran](http://www.patchspace.co.uk/)
- 7:30pm :: Drinks at the BBC bar
- 8:00pm :: Off to Odder across the road for pizzas and maybe a beer or two sponsored by [http://www.boxedup.com/](http://www.boxedup.com/)",10,2009-10-15 18:30:00 UTC
Source Control Stand-off,july09,"This month [Tekin Suleyman](http://tekin.co.uk/) and [Ashley Moran](http://www.patchspace.co.uk/) will be helping us get started with, and comparing, the Git and Darcs SCM systems.

Sponsorship is kindly provided this month by [Liquid Bronze](http://www.liquidbronze.com/), so free pizza will once again be available.

## The schedule

- 6:00pm :: Welcome & Pre-session bar visit.
- 6:30pm :: How to do things in Git by [Tekin Suleyman](http://tekin.co.uk/)
- 6:50pm :: Break
- 7:00pm :: How to do things in Darcs by [Ashley Moran](http://www.patchspace.co.uk/)
- 7:30pm :: Free pizza sponsored by [Liquid Bronze](http://www.liquidbronze.com/)
- 8:30pm :: Drinks at the BBC bar afterwards, then somewhere else nearby after that closes at about 21:00.",10,2009-07-16 18:00:00 UTC
Capistrano: from noob to winner,august09,"This month [Sam Phillips](http://twitter.com/samsworldofno) and [Lee Hambley](http://twitter.com/leehambley) of [Setfire Media](http://www.setfiremedia.com/) will be taking us through Capistrano from just starting out to advanced usage.

Sponsorship is kindly provided this month by [Setfire Media](http://www.setfiremedia.com/), so free pizza will once again be available.

## The schedule

Please note we’re back on our old start time of 6:30pm

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: Capistrano for Newbies by [Sam Phillips](http://twitter.com/samsworldofno)
- 7:30pm :: Break
- 7:40pm :: Winners’ Capistrano Recipes by [Lee Hambley](http://twitter.com/leehambley)
- 8:10pm :: Free pizza sponsored by [Setfire Media](http://www.setfiremedia.com/)
- 9:00pm :: Drinks at the BBC bar afterwards, then somewhere else nearby after that closes.
",10,2009-08-20 18:30:00 UTC
Unobtrusive JavaScript and Mystery Ruby,may07,"This month we have [Dave Verwer](http://shinydevelopment.com) talking about how to tame JavaScript into behaving in your Rails applications with “Unobtrusive JavaScript with Rails” and [Paul Robinson](http://vagueware.com) doing a “Mystery Ruby” session.

### Unobtrusive JavaScript with Dave Verwer

With every site you visit piling on more and more JavaScript and Ajax, what happens when a user comes along using a screen reader or mobile device that would choke on even a simple alert()? How can we take advantage of the power of these technologies without providing any barriers to users, this session will cover techniques to ensure that you can still serve up rich content without excluding users, all from one code base and will cover the [Unobtrusive JavaScript](http://ujs4rails.com) plug-in for Rails.

### “Mystery Ruby” Session with Paul Robinson

Ruby is a language that anybody can pick up the basics of within an hour or so, and most Rails programmers will have a working application up and running before they need to even learn what iterators are available. This talk scratches below the surface, and promises to teach a few corners of Ruby and Rails you might not have seen before (and if you have seen them, we promise not to bore you to death). We’ll go in-depth on some basics everybody should know – :like :what :those :funny :symbols :actually :are – and run through a cheat-sheet of tricks and hints that give a clue as to where to dig a little further.

## The schedule

- 6:30pm :: Welcome & Registration
- 7:00pm :: Unobtrusive JavaScript by [Dave Verwer](http://shinydevelopment.com)
- 7:45pm :: Break
- 8:00pm :: Mystery Ruby by [Paul Robinson](http://vagueware.com)
- 8:30pm :: Drinks at the [The Paramount](http://www.jdwetherspoon.co.uk/pubfinder/details.php?OutletNumber=422)",6,2007-05-22 18:30:00 UTC
Smooth web apps with Varnish,september09,"### <link>

This month [David Smalley](http://davidsmalley.com/) of [Litmus](http://litmusapp.com/) will be talking about [Varnish](http://varnish.projects.linpro.no/), the high-performance HTTP accelerator that makes [doctype](http://doctype.com/) fly.

No sponsorship this month, but never fear, the BBC bar is fairly cheap and the Odder bar across the road serves nice pizzas.

## The schedule

Please note we’re back on our old start time of 6:30pm

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: Everything you ever wanted to know about Varnish by [David Smalley](http://davidsmalley.com/) of [Litmus](http://litmusapp.com/)
- 7:30pm :: Drinks at the BBC bar
- 8:00pm :: Off to Odder across the road. Odder serves food until 8:30.",10,2009-09-17 18:30:00 UTC
All things Mongo with Adam Holt,june10,"This month [Adam Holt](http://adamholt.co.uk/) will be talking about all things Mongo.

There is sponsorship from [On The Beach](http://www.onthebeach.co.uk/) this month so there will be free pizza in Odder over the road from the venue after the talks.

## The schedule

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: Mongo by [Adam Holt](http://adamholt.co.uk/)
- 7:30pm :: Drinks at the BBC bar
- 8:00pm :: Off to Odder across the road for free pizzas sponsored by [On The Beach](http://www.onthebeach.co.uk/).
",10,2010-06-17 18:30:00 UTC
oAuth and xAuth with Asa Calow,may10,"This month [Asa Calow](http://www.workingwithrails.com/person/12991-asa-calow) will be talking about oAuth and xAuth.

There is sponsorship from [Super Shiny Robot](http://supershinyrobot.com/) this month so there will be free pizza in Odder over the road from the venue after the talks.

## The schedule

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: oAuth and xAuth by [Asa Calow](http://www.workingwithrails.com/person/12991-asa-calow)
- 7:30pm :: Drinks at the BBC bar
- 8:00pm :: Off to Odder across the road for free pizzas sponsored by [Super Shiny Robot](http://supershinyrobot.com/).",10,2010-05-20 18:30:00 UTC
Social Meet,april10,"We couldn’t get a room for the meeting, so we’re going to head to Common just across the road.",4,2010-04-15 19:00:00 UTC
Social Meet,March10,"A social meeting this month, there should be a lot to talk about with the imminent release of Rails 3.",8,2010-03-18 19:00:00 UTC
Hanging out at the MadLab,february10,"This month we are in MabLab in Manchester’s Northern Quarter, no talks planned but we may abuse the projector.",1,2010-02-18 19:00:00 UTC
Code Kwoon,november09,"This month [Ashley Moran](http://www.patchspace.co.uk/) will leading a Coding Kwoon!

The Coding Kwoon is a place to practice software design. The training tool will be RSpec and the output of the exercise will be Ruby code. No experience of either is required to take part.

A problem will be announced on the day that will be solved using Ruby.

Two coders will sit at the front. They will pair program a behaviour-driven solution to the problem, explaining what they are thinking, what they are doing, and why they are doing it. Every five minutes, one of the pair will be swapped out with a volunteer from the audience. At all times, one of the pair will be a coder experienced in RSpec.

#### The structure will be:

- 6:30pm :: Welcome & Pre-session bar visit.
- 7:00pm :: Introduction & 1st Coding session
- 7:45pm :: Break
- 7:55pm :: 2nd Coding session
- 8:35pm :: Retrospective
- 8:45pm :: Off to Odder across the road for a beer and a chat",10,2009-11-19 18:30:00 UTC
Making Money From Your Side-Project,april11,"This month we are in MabLab in Manchester’s Northern Quarter, with Dom Hodgson who will be spilling the secrets to making money from your side-project

Dom is a blogger, conference organiser, conference speaker, award winning singer / songwriter, bagel delivery bloke, bowler, barcamp addict, web developer, loud mouthed git, entrepreneur, drinker, hugger, Nintendo lover (not in that way of course). At least according to [himself](http://www.thehodge.co.uk/about-dom-the-hodge).
",1,2011-04-21 19:00:00 UTC
Social Meetup,march11,A social meetup this month at the Paramount.,8,2011-03-17 18:00:00 UTC
NWRUG Curry Night,november10,"It’s a social meet this month, we will be meeting at Wetherspoons where it’s curry night (and it’s pretty good curry too).",8,2010-11-18 18:30:00 UTC
NWRUG Curry Night,october10,"It’s a social meet this month, we will be meeting at Wetherspoons where it’s curry night (and it’s pretty good curry too).",8,2010-10-18 18:30:00 UTC
NWRUG Curry Night,august10,"It’s a social meet this month, we will be meeting at Wetherspoons where it’s curry night (and it’s pretty good curry too).",8,2010-08-19 18:30:00 UTC
Introduction to Pure Data,february17,"A first look at Pure Data, the graphic programming language, geared towards digital art with real-time results.

This talk will be optionally interactive. If you want to join in then please bring along a laptop with [Pure Data installed](http://madlab.org.uk/content/manchester-free-software-7/).

The talk will include:

- A first look at the data-flow diagram method of programming (programming without writing code!).
- Some objects to make Pure Data work for you.
- A room full of improvising computers!
- How to make your own musical instrument in half an hour!
- Ways to find out more about Pure Data.

## The schedule

- 6:00pm :: Welcome & Pre-session bar visit.
- 6:30pm :: Introduction to Pure Data with Andrew Faraday.
- 8:00pm :: Off to the bar across the road.",10,2011-02-17 18:00:00 UTC
Clojure,january11,"This month Rick Moynihan will be talking on Clojure

Sponsorship is kindly provided this month by Ashley Moran (of [PatchSpace](http://www.patchspace.co.uk/) and [ShRUG](http://shrug.org)) who is preparing Ruby training courses for 2011, so free pizza will be available after the talk.

## The schedule

- 6:00pm :: Welcome & Pre-session bar visit.
- 6:30pm :: Clojure with Rick Moynihan
- 8:00pm :: Off to the bar across the road for free pizza sponsored by Ashley Moran (of [PatchSpace](http://www.patchspace.co.uk/) and [ShRUG](http://shrug.org)) who is preparing Ruby training courses for 2011, so free pizza will be available after the talk.

## Sign up

If you would like to attend this event please [sign up here](http://spreadsheets.google.com/viewform?hl=en&formkey=cG9TNWpCQXVlamg5eGJYZEJNWkxLQ3c6MA) as the BBC need a list of attendees before the event and I really need to know the numbers so I can order the right amount of food and drink.
",10,2011-01-20 18:00:00 UTC
The Lightning Round,november11,"We have three, count them, three talks lined up for this week. “Hello Rubinius” by [Adam Holt](http://adamholt.co.uk), “Scamp: A Campfire Bot Framework” by [Will Jessop](http://willj.net) and “Meet Hubot” by [Tom Bell](http://tombell.org.uk). The Venue is [MDDA](http://www.manchesterdda.com/), on Portland Street.

After the talks we will have our regular drinking and discussion sessions, so come to learn about new things, and for talk of Ruby, Rails and other interesting topics.

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, shock horror! you don’t program ruby!

## The schedule

- 6:30pm :: Meet at [MDDA](http://www.manchesterdda.com/)
- 7:00pm :: Hello Rubinius by [Adam Holt](http://adamholt.co.uk)
- 7:15pm :: Scamp: A Campfire Bot Framework by [Will Jessop](http://willj.net)
- 7:30pm :: Meet Hubot by [Tom Bell](http://tombell.org.uk)",16,2011-11-17 18:30:00 UTC
Meet the EngineYard Crew,June11-meet-engineyard,"EngineYard are in town, we’re having an extra social  meetup to welcome them to Manchester.",9,2011-06-28 18:00:00 UTC
Social Meetup,september11,A social meetup this month.,8,2011-09-15 18:00:00 UTC
NWRUG Curry Night,july11,"It’s a social meet this month, we will be meeting at Wetherspoons where it’s curry night. Come for talk of Ruby, Rails and other interesting things that may or may not be Ruby related.
",8,2011-07-21 18:30:00 UTC
The Training Edition,august11,"A bit of a different meet this month. This month we are hooking up with long time NWRUG members, [Ric Roberts](http://ricroberts.com) and [Tekin Suleyman](http://tekin.co.uk) for their new Ruby on Rails Bootcamp course over at [MadLab](http://madlab.org.uk).

It will be a social meet of sorts, but with a chance for the students of the course to come face to face with some experienced ruby developers from the local Ruby community.

Anyone is welcome, whether you are an experienced Ruby developer, a course student or just someone wanting to get into ruby, come along, we’ll have some beers and chat about ruby and other stuff.

## The schedule

- 6:30pm :: Social meeting at [MadLab](http://madlab.org.uk), bring a beer or two
- Some time after :: Go to a bar for more drinks.
",1,2011-08-18 18:30:00 UTC
Client-side MVC: An Introduction to Backbone.js,15th-march-client-side-mvc-an-introduction-to-backbone-js,"I’ve seen the future and the future is Client-side MVC! In this talk, Tom Bell will give a gentle introduction to Backbone.js, explaining how you can use it to add structure and finesse to your front-end code.

This month’s NWRUG is kindly sponsored by [Capsule CRM](http://capsulecrm.com/).

## The schedule

- 6:30pm :: Pre-talk drinks at [Common](http://www.aplacecalledcommon.co.uk/)
- 7:00pm :: Meet at [The MadLab](http://madlab.org.uk/)
- 7:15pm :: TALK: An Introduction to Backbone.js by Tom Bell
- 8:00pm :: Post-talk drinks back at [Common](http://www.aplacecalledcommon.co.uk/)",1,2012-03-15 18:30:00 UTC
The New Year Lightning Round,19th-january-the-new-year-lightning-round,"Start the new year as you mean to go and nourish your brain with Ruby goodness! At this month's NWRUG, we have a series of 5 minute lightning talks from [Adam Holt](http://adamholt.co.uk), [Tom Clements](http://tom-clements.com) and [Will Jessop](http://willj.net).

Melbourne Host have sponsored this month’s NWRUG, so there will be beer and soft drinks (No food, sorry!) on the night for everyone attending. Melbourne Host are currently looking for a Ruby on Rails developer in Manchester if you’re looking for a job ( [more info](http://www.melbourne.co.uk/about-melbourne/careers-at-melbourne/front-end-ruby-on-rails-developer/)).

#### Got an Idea for a Lightning Talk?

We’ve still got room for a couple more talks, so if you have an interesting Ruby-related topic you’d like to talk about for 5 minutes, let us know and we’ll add you to the lineup.

## The schedule

- 6:30pm :: Pre-talk drinks at [Common](http://www.aplacecalledcommon.co.uk/)
- 7:00pm :: Meet at [The MadLab](http://madlab.org.uk/)
- 7:15pm :: Let the Lightning talks commence!
- 8:00pm :: Post-talk drinks somewhere in the vicinity",1,2012-01-19 18:30:00 UTC
Crash Course in Scala,july12,"This month we have the [CapsuleCRM](http://capsulecrm.com/) guys, [Duncan Stockdill](http://twitter.com/duncanstockdill) and [Phillip Haines](http://twitter.com/philliphaines), giving us an introduction to [Scala](http://www.scala-lang.org/), a general purpose programming language built on the JVM, most famous for Rubyists for replacing ruby at Twitter

[CapsuleCRM](http://capsulecrm.com/) are also sponsoring the event, so beer will be provided across the road at Common during our regular post-talk discussion sessions, make sure to thank them!

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, shock horror! you don’t program ruby!

## The schedule

- 6:30pm :: Meet at Common for pre-talk drinks
- 7:00pm :: Introduction to Scala by [CapsuleCRM](http://capsulecrm.com/)
- 7:30pm :: Q&A
- After :: Post-talk drinks and discussion in Common
",1,2012-07-19 18:30:00 UTC
Celluloid with Adam Holt,june12,"This month [Adam Holt](http://adamholt.co.uk/) will be talking about [Celluloid](http://celluloid.io/).

Celluloid is an implementation of the Actor pattern in ruby, inspired heavily by Erlang. The meeting will be held at Madlab, followed by drinks across the road in Common.

#### What is Celluloid

Celluloid is a concurrent object oriented programming framework for Ruby which lets you build multithreaded programs out of concurrent objects just as easily as you build sequential programs out of regular objects.

We will dive into Celluloid, touching briefly on DCell, Celluloid::IO and Reel.

## The schedule

- 6:30pm :: Welcome & Pre-session bar visit at Common.
- 7:00pm :: [Celluloid](http://celluloid.io/) by [Adam Holt](http://Adam) at Madlab
- 7:30pm :: Q&A
- After :: To Common bar across the road for drinks and discussion.",1,2012-06-21 18:30:00 UTC
The Python Experiment,may12,"A special edition of NWRUG this month, as we will be sharing with the Python User Group. There will be plenty of discussion, and some work on Ruby and Python Katas to get you started with Python.

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, **shock horror** , you don’t program ruby!

## The schedule

- 6:30pm :: Meet at [Madlab](http://madlab.org.uk/)
- 7:00pm :: Intro to Python and Ruby Language Syntax
- 7:15pm :: Group Ruby and Python Katas
- After :: Drinks in Common",1,2012-05-17 18:30:00 UTC
Rails 4 Streaming,18th-october-rails-4-streaming-with-sawomir-wdwka,"A few months ago, [Aaron Patterson](http://twitter.com/tenderlove) introduced us to a new feature in the upcoming Rails 4, [Live Streaming](http://tenderlovemaking.com/2012/07/30/is-it-live.html). This month, [Sławomir Wdówka](https://twitter.com/gl0wa) from [Fatsoma](http://www.fatsoma.com/) will be giving us the low down on this new feature!

This month we’ll also be holding a **Ruby/Rails advice drop-in session** before the main talk. If you are new to Ruby or Rails, or maybe you’re just having a problem with a particular bit of code, drop in at MadLab from 6pm for help and advice from some seasoned Ruby developers.

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, shock horror, you don’t program ruby!

## The schedule

- 6:00pm :: Ruby/Rails Advice Drop-in Session – All levels welcome.
- 7:00pm :: Rails 4 Streaming by [Sławomir Wdówka](https://twitter.com/gl0wa)
- 7:30pm :: Q&A
- After :: Post-talk drinks and discussion in Common sponsored by [Fatsoma](http://www.fatsoma.com/)",1,2012-10-18 18:00:00 UTC
Christmas Social,20th-december-christmas-social,"After a fantastic year of Talks for NWRUG, we are finishing the year with a few drinks to look back and reminisce. We will be meeting at Common at 6pm for drinks and discussion, feel free to join us an celebrate a great 2012 of NWRUG; and a great 2013 to come!

We'd like to extend my thanks to our speakers througout the year:

- [Adam Holt](http://twitter.com/adamholt)
- [Tom Clements](http://twitter.com/seenmyfate)
- [Will Jessop](http://twitter.com/will_j)
- [Ash Moran](http://alpha.app.net/ashmoran)
- [Tom Bell](http://twitter.com/thetombell)
- [Matt House](http://twitter.com/eightbitraptor)
- [PYNW](http://pynw.org.uk/)
- [Phillip Haines](http://twitter.com/PhillipHaines)
- [Mike Smith](http://twitter.com/mikespokefire)
- [Sławomir Wdówka](https://twitter.com/gl0wa)

Also, we'd like to thank all of our sponsors that have helped us provide you with drinks and food during the meetings:

- [Melbourne Hosting](http://www.melbourne.co.uk/)
- [Fatsoma](http://www.fatsoma.com/)
- [Capsule CRM](http://capsulecrm.com/)
- [On The Beach](http://www.onthebeach.co.uk/)
- [Creative Lynx](http://www.creativelynx.co.uk/)

Finally, we'd like to thank our organisers for giving up their spare time and making the meetings possible:

- [Adam Holt](http://twitter.com/adamholt)
- [Will Jessop](http://twitter.com/will_j)
- [Tekin Suleyman](http://twitter.com/tekin)

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, shock horror, you don’t program ruby!",4,2012-12-20 18:00:00 UTC
The Hacker Edition,17th-january---the-hacker-edition,"This month we will be running our regular drop in session, combined with a social in common. Also Adam Holt will be providing a brief intro to the ease of exploitation the recent XML/YAML parsing vulnerability, and why you should patch this issue immediately if you have not done so.

Anyone is welcome to come join us, whether you are a Ruby pro, a complete noob, or, shock horror, you don’t program ruby!

## The schedule

- 6:00pm :: Drop in session at MadLab
- 7:00pm :: Drinks in Common.",1,2013-01-17 18:00:00 UTC
Social Meetup,thursday-20th-june-social-meetup,"It’s a social meet this month, meet from 6:00 onwards at [kosmonaut](http://kosmonaut.co/) for drinks and much nerdy discussion.",5,2013-06-20 18:00:00 UTC
"How to Make Your Objects Selfish, Ignorant, and Lazy in One Easy Step",thursday-18th-april---how-to-make-your-objects-selfish-ignorant-and-lazy-in-one-easy-step,"“Tell Don’t Ask”, “Single Responsibility Principle”, “Composition Over Inheritance”. These OO guidelines ride shotgun with us as we code, sitting on our shoulder and whispering in our ear.

At April’s NWRUG I’ll add one more to this list – an idea that helps yield cleaner code. But be warned: we’re going to touch Ruby’s third rail.

Sponsored by Pivotal Labs.

## The speaker

[JB Steadman](https://twitter.com/jbsteadman) is the Director of Pivotal Labs London, and is here on a mission to bring Pivotal’s unique brand of software development to the good people of the UK.

## The schedule

- 6:00pm :: Ruby/Rails Advice Drop-in Session - All levels welcome.
- 7:00pm :: How to Make Your Objects Selfish, Ignorant, and Lazy in One Easy Step
- 7:30pm :: Q&A
- After&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;:: Post-talk drinks and discussion in Terrace sponsored by [Pivotal Labs](http://pivotallabs.com).",1,2013-04-18 18:00:00 UTC
